"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00616569437246621,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00610482662369974,NA,0.00589843172225785,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00604411991063665,0.00545716951509183,0.00584371725444334,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00598357349118455,0.00540621547556808,0.00578902194083079,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00592318791673641,0.0053554263504277,0.00573434531757636,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,0.00533600113936036,0.00586296262028639,0.00530480006811356,0.00567968738731929,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,0.00529943630008906,0.00580289812568442,0.00525433501622244,0.0056250476402915,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,0.00526258405803939,0.00574299389583417,0.00520402780516849,0.00557042580920132,0.00437045608687885,0.00573109086630076,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,0.00522545094329892,0.00568325056900575,0.00515387645475057,0.00551582090246238,0.00432845416934738,0.00565241941610695,NA
"101",NA,NA,NA,NA,NA,NA,NA,0.0058708200661719,0.00518804296344488,0.00562366772044627,0.00510387822951864,0.00546123358470402,0.00428657931093955,0.00557430436240833,NA
"102",NA,NA,NA,NA,NA,NA,NA,0.00580367336294937,0.00515036655434426,0.00556424485544688,0.00505403189393912,0.00540666263003277,0.00424482748591833,0.00549674057557036,NA
"103",NA,NA,NA,NA,NA,NA,NA,0.00573713588447679,0.0051124273615467,0.00550498270928258,0.00500433419660713,0.00535210780318378,0.00420319300548647,0.00541972528508407,NA
"104",NA,NA,NA,NA,NA,NA,NA,0.00567120090279563,0.00507423232104849,0.00544588080452076,0.00495478299742818,0.00529756910395689,0.00416167182288171,0.00534325343714245,NA
"105",NA,NA,NA,NA,NA,NA,NA,0.00560586212684081,0.00503578696201185,0.00538693930706302,0.00490537570684472,0.00524304607342607,0.0041202589020305,0.00526732079714266,NA
"106",NA,NA,NA,NA,NA,NA,NA,0.00554111275449519,0.00499709710799018,0.00532815749313743,0.00485611041032898,0.00518853780425797,0.00407894976823655,0.00519192377245586,NA
"107",NA,NA,NA,NA,NA,NA,0.00542217175295811,0.0054769472973834,0.00495816938250799,0.00526953598351338,0.00480698467149424,0.00513404485033214,0.00403773937637836,0.00511705775332193,NA
"108",NA,NA,NA,NA,NA,NA,0.00536614337053986,0.00541335844171867,0.0049190093424682,0.0052110744040906,0.00475799597130689,0.00507956621015655,0.00399662349675263,0.00504271778792021,NA
"109",NA,NA,NA,NA,NA,0.00509063083597713,0.00531045958807394,0.00535034031613016,0.00487962259294018,0.00515277239005559,0.00470914148197294,0.005025101743007,0.00395559735768721,0.00496889997026949,NA
"110",NA,NA,NA,NA,NA,0.00505198307394236,0.00525511949146518,0.00528788642762836,0.00484001537186838,0.00509463061773161,0.0046604193079657,0.00497065109460482,0.00391465600690519,0.00489559928352486,NA
"111",NA,NA,NA,NA,NA,0.00501340776348964,0.00520011987352571,0.00522598988216408,0.00480019345968726,0.00503664786586176,0.00461182759446845,0.00491621341448498,0.00387379521231068,0.00482281180855255,NA
"112",NA,NA,NA,NA,NA,0.00497490370827664,0.00514545966583221,0.0051646443738672,0.00476016176466766,0.00497882419140459,0.00456336247976052,0.00486178905757307,0.0038330104529415,0.00475053192066257,NA
"113",NA,NA,NA,NA,NA,0.00493647044895747,0.00509113653773888,0.00510384404087808,0.00471992669481312,0.00492116050210288,0.00451502253620803,0.00480737761931752,0.00379229686741283,0.0046787553709341,NA
"114",NA,NA,NA,NA,NA,0.00489810760595526,0.00503714832043628,0.00504358159154348,0.00467949374809621,0.0048636555015578,0.00446680544713225,0.00475297826698709,0.00375164981544691,0.0046074774402754,NA
"115",NA,NA,NA,NA,NA,0.00485981373627112,0.00498349299670813,0.00498385122689971,0.00463886821242102,0.00480630952867492,0.00441870845277788,0.00469859118875095,0.00371106496132202,0.00453669253267826,NA
"116",NA,NA,NA,NA,NA,0.00482158854201588,0.00493016834069838,0.00492464583748266,0.00459805554702733,0.00474912239612973,0.00437072948138052,0.00464421556942017,0.00367053805010357,0.00446639638449104,NA
"117",NA,NA,NA,NA,NA,0.00478343088521591,0.00487717289841854,0.00486595942546041,0.0045570612549512,0.00469209357186757,0.00432286491609862,0.00458985128764462,0.00363006435526407,0.00439658349363835,NA
"118",NA,NA,NA,NA,NA,0.00474534036981547,0.00482450428864924,0.00480778509131303,0.00451589079183136,0.00463522369301571,0.00427511452959022,0.00453549826288636,0.00358963931429359,0.00432724877889089,NA
"119",NA,NA,NA,NA,NA,0.00470731627758227,0.00477215983779811,0.00475011662683069,0.0044745491203479,0.004578511684332,0.00422747372890126,0.00448115554873899,0.00354925844187636,0.00425838710529626,NA
"120",NA,NA,NA,NA,NA,0.00466935798885811,0.0047201385318526,0.00469294790036879,0.00443304170851401,0.00452195768199473,0.00417994156639325,0.00442682367381876,0.00350891738330619,0.00418999353805074,NA
"121",NA,NA,NA,NA,NA,0.00463146418597974,0.00466843703657,0.0046362712841034,0.00439137407684521,0.00446556126812314,0.00413251453287742,0.00437250134175637,0.00346861188328132,0.00412206193968199,NA
"122",NA,NA,NA,NA,NA,0.00459363444393148,0.00461705382577329,0.00458008117900917,0.00434955042930068,0.00440932270868988,0.00408519068289467,0.00431818897434118,0.00342833748314009,0.00405458786532237,NA
"123",NA,NA,NA,NA,NA,0.00455586838993101,0.00456598716076183,0.00452437065460494,0.00430757655363997,0.00435324180342158,0.00403796792483953,0.00426388598980338,0.00338808945624309,0.00398756495260717,NA
"124",NA,NA,NA,NA,NA,0.00451816510755621,0.00451523401521667,0.00446913355201865,0.00426545697769581,0.00429731720564123,0.00399084334151873,0.0042095920639509,0.00334786436975295,0.0039209879592031,NA
"125",NA,NA,NA,NA,NA,0.00448052364146275,0.00446479301030586,0.00441436303652187,0.00422319697526559,0.00424155002331984,0.00394381443722557,0.00415530708221751,0.00330765713219805,0.00385485215943654,NA
"126",NA,NA,NA,NA,0.00491685350062156,0.00444294367431078,0.00441466148571719,0.00436005282295598,0.00418080084380114,0.00418593908506757,0.00389687903151,0.00410103047326619,0.00326746393860459,0.00378915035186512,NA
"127",NA,NA,NA,NA,0.00487762378676879,0.00440542427830064,0.00436483747046371,0.00430619658698883,0.00413827461332601,0.00413048437787116,0.0038500347937688,0.00404676244465859,0.00322727990608473,0.00372387803776368,NA
"128",NA,NA,NA,NA,0.00483857957598019,0.00436796505709926,0.00431531831806595,0.00425278736668747,0.00409562175528052,0.00407518582639475,0.00380327864880468,0.00399250177102751,0.00318710146203545,0.00365902911595541,NA
"129",NA,NA,NA,NA,0.00479971877971503,0.00433056532197603,0.00426610225009218,0.00419981896391124,0.00405284761568337,0.00402004325255795,0.00375660879757673,0.00393824915527985,0.00314692431586529,0.00359459738676822,NA
"130",NA,NA,NA,NA,0.00476103938275042,0.00429322414025793,0.00421718705686867,0.00414728448332366,0.00400995676635493,0.00396505583754242,0.00371002281604673,0.00388400377357434,0.0031067439050474,0.00353057720865305,NA
"131",NA,NA,NA,NA,0.00472254029002081,0.00425594108159091,0.00416857069613487,0.00409517814273324,0.00396695362273452,0.00391022353855646,0.00366351797327694,0.0038297657052653,0.00306655676938442,0.00346696227137903,NA
"132",NA,NA,NA,NA,0.00468421904408895,0.00421871564908924,0.00412025038162368,0.00404349335337578,0.00392384246693135,0.00385554638376438,0.00361709161030471,0.00377553425413826,0.00302635814023286,0.00340374697634977,NA
"133",NA,NA,NA,NA,0.00464607396707036,0.00418154683847074,0.00407222408175069,0.00399222281558157,0.00388062810930271,0.00380102368418105,0.00357074195509272,0.00372130953075508,0.00298614448034725,0.00334092537345874,NA
"134",NA,NA,NA,NA,0.00460810365272711,0.00414443436348073,0.00402448914753538,0.00394136106527924,0.00383731461278499,0.0037466550828786,0.0035244658716294,0.00366709148037843,0.00294591139373241,0.00327849072886005,NA
"135",NA,NA,NA,NA,0.00457030569262013,0.00410737773753521,0.00397704438705228,0.00389090149963878,0.00379390672890917,0.003692440588628,0.00347826139340572,0.00361287892039249,0.00290565454009059,0.00321643703563896,NA
"136",NA,NA,NA,NA,0.00453267879145819,0.0040703756672963,0.00392988636403824,0.00384083743172215,0.00375040818650522,0.00363837943856087,0.0034321259571639,0.00355867279670063,0.00286537091107634,0.00315475829849884,NA
"137",NA,NA,NA,NA,0.00449522136960106,0.00403342858841638,0.00388301385517191,0.00379116237855969,0.00370682380894056,0.00358447170643556,0.0033860568546872,0.00350447195664472,0.0028250561408217,0.00309344774781266,NA
"138",NA,NA,NA,NA,0.00445793119442724,0.00399653520881301,0.00383642358002711,0.00374187034171754,0.00366315673681287,0.00353071660283116,0.00334005208735171,0.00345027639501055,0.00278470577347859,0.00303249955621067,NA
"139",NA,NA,NA,NA,0.0044208066262264,0.00395969506955929,0.00379011387469869,0.00369295412695855,0.0036194122508667,0.00347711378198401,0.00329410964430114,0.00339608609195723,0.00274431695491818,0.00297190679951026,NA
"140",NA,NA,NA,NA,0.00438384622201243,0.00392290779508605,0.00374408229039426,0.00364440838735296,0.00357559372828494,0.00342366379002813,0.00324822575749777,0.00334190116912444,0.00270388492211713,0.00291166309611855,NA
"141",NA,NA,NA,NA,0.00434704788819627,0.00388617277730498,0.00369832619282303,0.00359622651367978,0.00353170456234272,0.00337036512367228,0.00320239898446766,0.00328772099580109,0.00266340663150719,0.00285176174201368,NA
"142",NA,NA,NA,NA,0.00431041003928743,0.00384948946102988,0.00365284396648946,0.00354840201753434,0.00348774975884825,0.00331721801049874,0.00315662693386626,0.00323354539452531,0.00262287736157675,0.00279219637992888,NA
"143",NA,NA,NA,NA,0.00427393121043924,0.00381285731971935,0.00360763258998687,0.00350092821050203,0.00344373218764414,0.00326422147179779,0.00311090670874936,0.0031793742165428,0.00258229442042298,0.0027329603580084,NA
"144",NA,NA,NA,NA,0.00423760938044328,0.0037762760087345,0.00356269003892025,0.00345379930443681,0.00339965640951487,0.00321137542968091,0.00306523622572581,0.0031252070517294,0.00254165351647265,0.00267404676558488,NA
"145",NA,NA,NA,NA,0.00420144281593699,0.0037397446885291,0.00351801394089481,0.00340700868074932,0.00335552518429186,0.00315867978725595,0.00301961298632267,0.00307104405658705,0.00250095129602573,0.0026154486570768,NA
"146",NA,NA,NA,NA,0.0041654300552501,0.00370326316863752,0.0034736019172778,0.00336055050866962,0.00331134297674999,0.00310613343343038,0.00297403468021289,0.00301688548362204,0.00246018375343461,0.00255715996311794,NA
"147",NA,NA,NA,NA,0.0041295694508579,0.00366683083332227,0.00342945182054828,0.00331441837757152,0.00326711267624297,0.00305373643973118,0.00292849915847697,0.00296273003216945,0.00241934752700544,0.00249917316847582,NA
"148",NA,NA,NA,NA,0.00409385915419428,0.00363044732142479,0.00338556108989014,0.00326860598640702,0.00322283810115425,0.00300148833240832,0.00288300309172581,0.00290857847193349,0.00237843907431367,0.00244148128611431,NA
"149",NA,NA,NA,NA,0.00405829767612451,0.00359411208294021,0.00334192746877776,0.00322310691211035,0.00317852287702045,0.00294938921921203,0.0028375452735316,0.00285443026234249,0.00233745488526138,0.00238407758762839,NA
"150",NA,NA,NA,0.00439135033256396,0.00402288320313347,0.00355782474509459,0.00329854859083431,0.00317791566242782,0.00313416995024244,0.00289743748712116,0.00279212264035298,0.00280028552027811,0.00229639169525567,0.00232695466694245,NA
"151",NA,NA,NA,0.00435862121304826,0.00398761427350524,0.00352158489158612,0.00325542179611755,0.00313302548345744,0.00308978310284965,0.00284563307338177,0.00274673315662561,0.00274614430604892,0.00225524591515604,0.00227010633686165,NA
"152",NA,NA,NA,0.00432594043643863,0.00395248931843775,0.00348539188841643,0.00321254521404675,0.00308843079902758,0.00304536521034871,0.002793976319632,0.0027013741904761,0.00269200547687831,0.00221401399023207,0.00221352431208642,NA
"153",NA,NA,NA,0.00429330973672075,0.00391750655290519,0.00344924558641661,0.00316991626930135,0.00304412478307755,0.00300091941182492,0.00274246527553928,0.00265604350719097,0.00263787017195566,0.00217269280321718,0.00215720288979298,NA
"154",NA,NA,NA,0.00426073120826399,0.00388266437893934,0.00341314544515807,0.00312753294670026,0.00300010232344849,0.00295644909896028,0.00269110021827902,0.00261073890263047,0.00258373825201559,0.00213127893198143,0.00210113330040356,NA
"155",NA,NA,NA,0.00422820671187942,0.00384796161445133,0.00337709106810876,0.00308539191037136,0.00295635693817638,0.00291195685251631,0.00263988119376797,0.0025654577263163,0.00252960865377807,0.00208976929993061,0.00204530886461025,NA
"156",NA,NA,NA,0.00419573773724999,0.0038133961895584,0.00334108223584702,0.00304349143825929,0.00291288241342857,0.00286744651281401,0.00258880741491558,0.00252019795809224,0.00247548219555598,0.00204816064075103,0.00198972229008735,NA
"157",NA,NA,NA,0.00416332666798056,0.00377896665140737,0.00330511860656905,0.00300182993243997,0.00286967299857292,0.00282292008579408,0.00253787761610841,0.00247495717410906,0.00242135818605016,0.00200644974183862,0.00193436655520397,NA
"158",NA,NA,NA,0.00413097481396429,0.00374467174726908,0.00326919954323131,0.00296040310488087,0.00282672246650542,0.00277838108866015,0.00248709181516423,0.00242973291647146,0.00236723654453415,0.00196463343281976,0.00187923413171317,NA
"159",NA,NA,NA,0.00409868417263607,0.00371050961187817,0.00323332478824043,0.00291921010325623,0.0027840252349463,0.00273383174327407,0.00243644950342669,0.00238452292091764,0.00231311819961282,0.00192270869769077,0.0018243169146344,NA
"160",NA,NA,NA,0.00406645663847225,0.0036764789776274,0.00319749413585656,0.00287824829700317,0.00274157584988277,0.00268927534490257,0.00238595002209361,0.00233932520265631,0.00225900269595267,0.0018806724281455,0.00176960809400058,NA
"161",NA,NA,NA,0.0040342938291181,0.00364257817830629,0.00316170750140822,0.00283751472198344,0.0026993673416705,0.00264471422478493,0.00233559326161746,0.00229413700041273,0.0022048893700844,0.00183852168695819,0.00171510053998428,NA
"162",NA,NA,NA,0.004002197625477,0.00360880565462927,0.00312596397386602,0.00279700762917771,0.00265739493955385,0.00260015100533187,0.00228537782586607,0.0022489566508449,0.00215077871936186,0.00179625327800912,0.00166078582216901,NA
"163",NA,NA,NA,0.00397016958464216,0.0035751601898339,0.0030902638520556,0.00275672411223045,0.00261565255293199,0.00255558860726736,0.00223530420273552,0.00220378151167478,0.00209667047311022,0.001753864771859,0.00160665625840966,NA
"164",NA,NA,NA,0.00393821168104533,0.00354164018955181,0.0030546065956147,0.00271666224564024,0.00257413429314653,0.00251102927426251,0.00218537045787491,0.0021586089712221,0.00204256541746907,0.00171135318799171,0.00155270488884032,NA
"165",NA,NA,NA,0.00390632546402112,0.00350824407427954,0.00301899199041832,0.00267681954448555,0.00253283452070221,0.0024664754997184,0.00213557748932784,0.00211343701606051,0.00198846261978551,0.0016687156032312,0.00149892368484985,NA
"166",NA,NA,NA,0.00387451258873446,0.00347497060197397,0.00298341935415564,0.00263719346837947,0.00249174824481794,0.00242192907758615,0.0020859239669976,0.00206826390017859,0.00193436267150875,0.00162594933657661,0.00144530477498665,NA
"167",NA,NA,NA,0.00384277487564558,0.0034418184160791,0.00294788920049571,0.00259778180078687,0.00245086851203496,0.00237739324565053,0.00203640912146624,0.00202308688266686,0.00188026544643338,0.00158305150698474,0.00139184088473864,NA
"168",NA,NA,NA,0.00381111393823582,0.00340878595380513,0.00291240112161367,0.00255858194748553,0.00241019069695151,0.00233286958660427,0.00198703273828269,0.00197790400736507,0.00182617115032672,0.00154001929719333,0.0013385232673986,NA
"169",NA,NA,NA,0.00377953106062025,0.00337587178995002,0.00287695438955434,0.00251959174995445,0.00236970901854029,0.00228836040848348,0.00193779397362271,0.00193271276179327,0.00177207953716893,0.00149685060085555,0.00128534564088898,NA
"170",NA,NA,NA,0.00374802862569852,0.00334307460199446,0.00284154944609398,0.00248080879469426,0.00232941857799692,0.00224386810668521,0.0018886922593226,0.00188751133258188,0.00171799062728657,0.00145354261614779,0.00123229863230135,NA
"171",NA,NA,NA,0.00371660760059343,0.00331039294970115,0.00280618555751601,0.00244223031668589,0.00228931258773778,0.00219939471555612,0.0018397267206367,0.00184229714689055,0.00166390535713699,0.0014100927141627,0.00117937522823037,NA
"172",NA,NA,NA,0.00368526965630393,0.00327782576339867,0.00277086304138562,0.00240385432639812,0.0022493866585914,0.00215494168025955,0.00179089745297717,0.00179706841900658,0.00160982297386542,0.00136649834131291,0.00112656683879699,NA
"173",NA,NA,NA,0.00365401666583418,0.00324537138204361,0.00273558136580999,0.00236567878061996,0.00220963548177404,0.00211051154354901,0.00174220298149965,0.00175182271191439,0.0015557440242346,0.00132275754017092,0.00107386613958813,NA
"174",NA,NA,NA,0.00362284969942678,0.00321302864991479,0.00270034058244489,0.00232770038483925,0.00217005278165717,0.00206610592494595,0.00169364327317981,0.00170655752509418,0.00150166836504005,0.00127886754001656,0.00102126490847182,NA
"175",NA,NA,NA,0.00359177082304822,0.0031807963622792,0.00266514028402215,0.00228991738809064,0.00213063416814414,0.00202172696386976,0.00164521689294771,0.00166127220585888,0.00144759592931124,0.00123482608494935,0.000968754874929416,NA
"176",NA,NA,NA,0.00356078123922895,0.00314867284936356,0.00262998075699506,0.00225232774438579,0.00209137390570069,0.00197737596761033,0.00159692446457943,0.00161596314951524,0.00139352720745041,0.00119063078733875,0.000916328115510066,NA
"177",NA,NA,NA,0.00352988250273211,0.00311665743245005,0.00259486158349558,0.0022149283407062,0.00205226758257522,0.00193305480528632,0.00154876412454003,0.00157062830920578,0.00133946308031083,0.00114627988237899,0.000863976621482562,NA
"178",NA,NA,NA,0.00349907626448497,0.00308474850013872,0.0025597828625077,0.0021777171902594,0.00201330912197555,0.00188876535946951,0.00150073538870286,0.00152526645163827,0.00128540254280067,0.00110177066133754,0.000811692380053014,NA
"179",NA,NA,NA,0.00346836370895834,0.00305294469931348,0.00252474418996781,0.0021406918346395,0.0019744938878386,0.00184450869326469,0.00145283790263656,0.00147987507057622,0.00123134635626355,0.00105710157306917,0.000759467337782647,NA
"180",NA,NA,NA,0.0034377463772244,0.00302124517866624,0.00248974587273131,0.00210385038045381,0.00193581629136807,0.00180028724820388,0.00140507050805247,0.0014344518501977,0.00117729443207073,0.00101227011032957,0.000707292744971347,NA
"181",NA,NA,NA,0.00340722589236865,0.00298964836640246,0.00245478762597419,0.00206718971290607,0.00189727242251743,0.00175610166681081,0.00135743321779689,0.00138899500708107,0.001123247529046,0.000967274542235738,0.000655160980193737,NA
"182",NA,NA,NA,0.00337680349336214,0.00295815326142356,0.00241986950669072,0.00203070807691595,0.0018588564440192,0.00171195371575948,0.00130992464481297,0.00134350230544532,0.00106920483581809,0.000922112484702326,0.000603063232214945,NA
